LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2499344,20540966,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.537,g/g,dry.frac,0.537,g dry mass / g fresh mass,Single,,,,0.537,g/g,,,0.697799,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2499352,20541054,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.507,g/g,dry.frac,0.507,g dry mass / g fresh mass,Single,,,,0.507,g/g,,,0.458293,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2499358,20541120,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.524,g/g,dry.frac,0.524,g dry mass / g fresh mass,Single,,,,0.524,g/g,,,0.576348,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2499362,20541164,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.569,g/g,dry.frac,0.569,g dry mass / g fresh mass,Single,,,,0.569,g/g,,,1.04582,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Dahlin,Kyla,293,Jasper Ridge leaf chemistry data,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2499406,20541648,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",4081,Leaf dry fraction,LDMC,0.491,g/g,dry.frac,0.491,g dry mass / g fresh mass,Single,,,,0.491,g/g,,,0.73509,"Dahlin KM, Asner GP & CB Field (2013) Environmental and community controls on plant canopy chemistry in a Mediterranean-type ecosystem. Proceedings of the National Academy of Sciences USA. 110(17): 6895-6900",dry frac: dry weight/ wet weight,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727043,12513732,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-4.299335596,Mpa,P12 (MPa),-4.299335596,Mpa,Single,,,,-4.299335596,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727044,12513835,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-4.041946474,Mpa,P12 (MPa),-4.041946474,Mpa,Single,,,,-4.041946474,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,241,Xylem Functional Traits (XFT) Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1727046,12514033,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2537,Xylem water potential at which 12% of conductivity is lost (P12),P12 (MPa),-4.041946474,Mpa,P12 (MPa),-4.041946474,Mpa,Single,,,,-4.041946474,Mpa,,,,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688",the xylem tension at which 12% of the maximum hydraulic conductivity is lost,
Jansen,Steven,187,Xylem Functional Traits (XFT) Database: Nature Subset,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,1393240,10182953,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-7.983174511,MPa,P50,-7.983174511,MPa,Single,,,,-7.983174511,Mpa,,,,"Brendan Choat,  Steven Jansen et al. (2012) Global convergence in the vulnerability of forests to drought. Nature 491, 752ñ755 doi:10.1038/nature11688",Xylem water potential at which 50% of conductivity is lost (?50),
Pausas,Juli,440,P50R - A global P50 & Resprouting Database,Adenostoma fasciculatum,1285,Adenostoma fasciculatum,2754471,25379123,719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P80)",2099,Xylem water potential at which 50% of conductivity is lost (P50),P50 (MPa),-7.983174511,MPa,Choat et al. 2012 reported ?50 (MPa),-7.983174511,MPa,Single,,,,-7.983174511,Mpa,,,,"Pausas, J. G., Pratt, R. B., Keeley, J. E., Jacobsen, A. L., Ramirez, A. R., Vilagrosa, A. , Paula, S. , Kaneakua&#8208;Pia, I. N. and Davis, S. D. (2016), Towards understanding resprouting at the global scale. New Phytol, 209: 945-954. doi:10.1111/nph.13644",,
