term,estimate,std.error,statistic,p.value,p.value.stars
(Intercept),0.4124,0.0179,23.0201,0,***
mwp,-0.1734,0.0051,-34.0707,0,***
speciesADEFAS,0.3928,0.0355,11.0609,0,***
speciesARBMEN,-0.1011,0.0637,-1.5885,0.1124, 
speciesARCGLA,0.353,0.0476,7.412,0,***
speciesARCPAT,0.1075,0.0245,4.3809,0,***
speciesCALDEC,0.2321,0.0234,9.9148,0,***
speciesCEACOR,0.0739,0.0236,3.1263,0.0018, 
speciesCEACUN,0.0628,0.0895,0.7018,0.4829, 
speciesCEAPAR,0.1886,0.0732,2.5762,0.0101,*
speciesCEASPI,0.2315,0.0415,5.5755,0,***
speciesCERBET,0.5053,0.0432,11.6897,0,***
speciesERIFAS,0.3813,0.0434,8.7796,0,***
speciesHETARB,0.2319,0.0347,6.6882,0,***
speciesMALLAU,0.2503,0.0419,5.9704,0,***
speciesPINJEF,0.071,0.0252,2.8188,0.0049, 
speciesPSEMEN,0.0492,0.0636,0.774,0.439, 
speciesQUEAGR,0.5813,0.026,22.388,0,***
speciesQUEBER,0.4635,0.0418,11.099,0,***
speciesQUEDOU,0.3592,0.023,15.6175,0,***
speciesQUEDUR,0.4432,0.0636,6.9669,0,***
speciesQUEGAR,0.1437,0.0641,2.2425,0.0251,*
speciesQUEKEL,0.0329,0.0313,1.0515,0.2932, 
speciesSALLEU,0.0139,0.0424,0.3282,0.7428, 
speciesSALMEL,0.0011,0.0438,0.026,0.9793, 
speciesUMBCAL,0.0884,0.0636,1.3896,0.1649, 
