,AccSpeciesID,AccSpeciesName,nSLA,SLA,nLDMC,LDMC,nSWC,SWC,SWC_from_LDMC
1,1,Aa sp,2,9.433962264,0,NA,0,NA,NA
2,2,Abarema adenophora,3,11.22524074,1,0.48,0,NA,1.083333333
3,6,Abarema jupunba,9,16.96086064,0,NA,0,NA,NA
4,7,Abarema laeta,3,20.90184189,0,NA,0,NA,NA
5,8,Abarema macradenia,5,8.238419267,2,0.499198312,0,NA,1.003211901
6,9,Abarema mataybifolia,5,10.19592847,0,NA,0,NA,NA
7,29,Abies alba,146,7.083419364,82,0.434647972,0,NA,1.300712449
8,30,Abies amabilis,5,8.31,0,NA,0,NA,NA
9,32,Abies balsamea,57,11.5023261,11,0.5492,0,NA,0.820830299
10,36,Abies cephalonica,2,6.530925693,2,0.364,0,NA,1.747252747
11,39,Abies concolor,75,4.60264848,58,0.452686207,0,NA,1.209035718
12,46,Abies firma,4,5.461517392,0,NA,0,NA,NA
13,48,Abies fraseri,17,5.515287663,0,NA,0,NA,NA
14,50,Abies grandis,9,9.904355513,2,0.3455,0,NA,1.894356006
15,56,Abies lasiocarpa,98,7.891603656,54,0.509088889,0,NA,0.964293509
16,61,Abies nephrolepis,5,8.51786,0,NA,0,NA,NA
17,66,Abies pinsapo,3,3.608423449,0,NA,0,NA,NA
18,67,Abies procera,3,8.209632008,2,0.4745,0,NA,1.10748156
19,70,Abies sachalinensis,5,7.120840451,0,NA,0,NA,NA
20,83,Abronia villosa,2,14,0,NA,0,NA,NA
21,86,Abrus precatorius,2,18.21493625,1,0.462740385,0,NA,1.161038961
22,89,Abuta grandifolia,3,12.01409939,0,NA,0,NA,NA
23,93,Abuta panamensis,4,15.45758599,0,NA,0,NA,NA
24,94,Abuta racemosa,13,14.68988803,10,0.46372616,0,NA,1.156445087
25,95,Abuta rufescens,16,5.68750218,0,NA,0,NA,NA
26,107,Abutilon fraseri,6,10.77513805,0,NA,0,NA,NA
27,115,Abutilon incanum,20,14.06461857,20,0.361032364,0,NA,1.769834785
28,116,Abutilon indicum,1,39.1,0,NA,0,NA,NA
29,127,Abutilon oxycarpum,20,18.69825,0,NA,0,NA,NA
30,139,Abutilon theophrasti,14,23.80640293,9,0.218395468,0,NA,3.578849594
31,148,Acacia acinacea,1,6.741255345,0,NA,0,NA,NA
32,151,Acacia acuminata,1,5.06417908,0,NA,0,NA,NA
33,169,Acacia aneura,16,10.18113325,6,0.336706035,0,NA,1.96994974
34,174,Acacia argyrophylla,1,4.429076909,0,NA,0,NA,NA
35,182,Acacia aulacocarpa,2,7.62336358,2,0.385338586,0,NA,1.595120336
36,185,Acacia auriculiformis,9,9.60069282,0,NA,0,NA,NA
37,188,Acacia baileyana,1,8.648025406,0,NA,0,NA,NA
38,189,Acacia bakeri,24,10.9115,0,NA,0,NA,NA
39,192,Acacia beckleri,2,5.422993492,0,NA,0,NA,NA
40,197,Acacia binervata,2,7.980422985,0,NA,0,NA,NA
41,208,Acacia brachybotrya,4,5.512178794,0,NA,0,NA,NA
42,209,Acacia brachystachya,3,4.276666667,0,NA,0,NA,NA
43,213,Acacia brownii,1,3.99525,0,NA,0,NA,NA
44,217,Acacia burkei,7,14.67101517,0,NA,0,NA,NA
45,219,Acacia buxifolia,23,6.179652174,0,NA,0,NA,NA
46,225,Acacia cambagei,4,5.748408233,0,NA,0,NA,NA
47,232,Acacia celsa,1,6.896551724,0,NA,0,NA,NA
48,246,Acacia cognata,1,23.6,0,NA,0,NA,NA
49,247,Acacia colei,1,15.38089723,0,NA,0,NA,NA
50,248,Acacia colletioides,2,4.332684407,0,NA,0,NA,NA
51,251,Acacia complanata,23,5.792565217,0,NA,0,NA,NA
52,252,Acacia concurrens,22,7.354227273,0,NA,0,NA,NA
53,253,Acacia conferta,2,5.348913043,0,NA,0,NA,NA
54,254,Acacia confusa,2,7.911392405,0,NA,0,NA,NA
55,260,Acacia coriacea,2,12.48607821,0,NA,0,NA,NA
56,267,Acacia crassicarpa,1,12.67427123,0,NA,0,NA,NA
57,274,Acacia cyclops,32,4.088915318,0,NA,0,NA,NA
58,279,Acacia dealbata,15,9.810137027,5,0.486382979,0,NA,1.055993002
59,280,Acacia deanei,2,5.206056701,0,NA,0,NA,NA
60,281,Acacia decora,6,5.868585438,0,NA,0,NA,NA
61,282,Acacia decurrens,1,9.359501923,0,NA,0,NA,NA
62,287,Acacia difficilis,5,9.589728477,1,0.405411997,0,NA,1.466626559
63,288,Acacia difformis,1,5.464100835,0,NA,0,NA,NA
64,290,Acacia dimidiata,4,5.645523569,0,NA,0,NA,NA
65,294,Acacia doratoxylon,19,4.279692634,1,0.460617227,0,NA,1.171
66,302,Acacia elata,1,22.5,0,NA,0,NA,NA
67,310,Acacia estrophiolata,6,4.659657989,0,NA,0,NA,NA
68,313,Acacia excelsa,2,4.27,0,NA,0,NA,NA
69,316,Acacia falcata,3,7.741585166,0,NA,0,NA,NA
70,317,Acacia falciformis,23,6.805235048,0,NA,0,NA,NA
71,324,Acacia fimbriata,23,9.653304348,0,NA,0,NA,NA
72,325,Acacia flavescens,3,7.322760473,0,NA,0,NA,NA
73,329,Acacia floribunda,10,8.101991167,0,NA,0,NA,NA
74,335,Acacia genistifolia,2,4.520241622,0,NA,0,NA,NA
75,345,Acacia glaucocarpa,22,8.681090909,0,NA,0,NA,NA
76,349,Acacia gonocarpa,1,4.339358098,1,0.440909091,0,NA,1.268041237
77,360,Acacia hakeoides,2,3.498626742,0,NA,0,NA,NA
78,364,Acacia havilandiorum,3,3.806703868,1,0.472589792,0,NA,1.116
79,367,Acacia hemignosta,1,4.505838509,0,NA,0,NA,NA
80,368,Acacia hemiteles,1,7.066950523,0,NA,0,NA,NA
81,369,Acacia hemsleyi,1,6.150994454,0,NA,0,NA,NA
82,373,Acacia hispidula,5,12.1136,0,NA,0,NA,NA
83,375,Acacia holosericea,4,5.13893011,0,NA,0,NA,NA
84,376,Acacia homalophylla,1,3.36,0,NA,0,NA,NA
85,381,Acacia implexa,3,9.732149901,0,NA,0,NA,NA
86,387,Acacia irrorata,5,17.31043075,0,NA,0,NA,NA
87,393,Acacia juncifolia,23,3.936391304,0,NA,0,NA,NA
88,399,Acacia koa,3,9.961682138,0,NA,0,NA,NA
89,411,Acacia latescens,5,7.363737712,1,0.4706743,0,NA,1.124611434
90,416,Acacia leiocalyx,23,6.743478261,0,NA,0,NA,NA
91,422,Acacia leucoclada,1,6.866939122,0,NA,0,NA,NA
92,425,Acacia ligulata,4,4.276581294,0,NA,0,NA,NA
93,428,Acacia lineata,2,4.641241379,0,NA,0,NA,NA
94,430,Acacia linifolia,1,16.436,1,0.4306,0,NA,1.32234092
95,434,Acacia longifolia,69,7.018856464,1,0.41826,0,NA,1.390857361
96,436,Acacia longissima,8,5.282131194,0,NA,0,NA,NA
97,455,Acacia mangium,6,9.924134119,0,NA,0,NA,NA
98,458,Acacia mearnsii,2,14.95,0,NA,0,NA,NA
99,462,Acacia melanoxylon,33,11.76077842,11,0.315110715,0,NA,2.173487765
100,466,Acacia microbotrya,1,4.963802512,0,NA,0,NA,NA
101,469,Acacia mimula,7,6.509754244,1,0.394466112,0,NA,1.535072014
102,476,Acacia montana,2,5.164062168,0,NA,0,NA,NA
103,481,Acacia mucronata,1,4.872138019,0,NA,0,NA,NA
104,485,Acacia murrayana,8,4.64379275,0,NA,0,NA,NA
105,486,Acacia myrtifolia,13,6.472926319,0,NA,0,NA,NA
106,489,Acacia neriifolia,23,8.588478261,0,NA,0,NA,NA
107,495,Acacia notabilis,1,4.774735448,0,NA,0,NA,NA
108,496,Acacia obliquinervia,3,5.6901241,0,NA,0,NA,NA
109,503,Acacia oncinocarpa,2,7.597269564,1,0.325291644,0,NA,2.074164428
110,508,Acacia oshanesii,24,10.888125,0,NA,0,NA,NA
111,509,Acacia oswaldii,5,3.741633742,0,NA,0,NA,NA
112,510,Acacia oxycedrus,1,5.12,0,NA,0,NA,NA
